new_index,vis_stim,block_type
0,COIN,am
1,46 / 2,ma
2,DRESS,am
3,40 - 12,ma
4,CHILD,am
5,36 * 6,ma
6,BABY,am
7,25 * 4,ma
8,DIAMOND,am
9,46 + 69,ma
10,ROCK,am
11,48 / 2,ma
12,MAGAZINE,am
13,52 - 37,ma
14,SEAT,am
15,40 / 5,ma
16,CHAIR,am
17,46 - 29,ma
18,SHORE,am
19,74 - 47,ma
20,COTTAGE,am
21,33 * 6,ma
22,NAIL,am
23,61 + 10,ma
24,GOLD,am
25,32 + 46,ma
26,STAR,am
27,74 + 73,ma
28,DOLLAR,am
29,30 / 5,ma
30,FLOWER,am
31,67 - 38,ma
32,SEA,am
33,69 - 30,ma
34,BOY,am
35,51 / 3,ma
36,DOOR,am
37,39 + 65,ma
38,GRANDMOTHER,am
39,49 + 40,ma
40,BLOOD,am
41,21 * 2,ma
42,HALL,am
43,35 * 2,ma
