new_index,vis_stim,block_type
0,MONEY,am
1,72 / 4,ma
2,FLAG,am
3,64 - 24,ma
4,PICTURE,am
5,25 * 3,ma
6,LIP,am
7,28 * 6,ma
8,TOWER,am
9,14 + 41,ma
10,LIBRARY,am
11,66 / 2,ma
12,RIVER,am
13,57 - 35,ma
14,DOCTOR,am
15,50 / 5,ma
16,CAR,am
17,47 - 33,ma
18,STONE,am
19,40 - 32,ma
20,HORSE,am
21,22 * 3,ma
22,BUILDING,am
23,16 + 47,ma
24,COFFEE,am
25,23 + 28,ma
26,GARDEN,am
27,36 + 65,ma
28,FIRE,am
29,75 / 5,ma
30,ARM,am
31,69 - 35,ma
32,TOY,am
33,60 - 27,ma
34,FURNITURE,am
35,42 / 2,ma
36,PAPER,am
37,55 + 12,ma
38,WINDOW,am
39,63 + 45,ma
40,WINE,am
41,21 * 4,ma
42,FOREST,am
43,33 * 2,ma
