new_index,vis_stim,block_type
0,POTATO,am
1,36 / 4,ma
2,GRASS,am
3,70 - 61,ma
4,CLOCK,am
5,19 * 4,ma
6,WATER,am
7,30 * 6,ma
8,HOTEL,am
9,23 + 29,ma
10,LAKE,am
11,45 / 3,ma
12,GIRL,am
13,47 - 25,ma
14,SHIP,am
15,40 / 5,ma
16,MEAT,am
17,17 - 11,ma
18,OCEAN,am
19,43 - 33,ma
20,VALLEY,am
21,12 * 6,ma
22,TREE,am
23,37 + 61,ma
24,PRISON,am
25,38 + 76,ma
26,ENGINE,am
27,78 + 42,ma
28,MEADOW,am
29,39 / 3,ma
30,MOUNTAIN,am
31,53 - 38,ma
32,BUTTER,am
33,75 - 10,ma
34,STRING,am
35,42 / 2,ma
36,PLANT,am
37,19 + 28,ma
38,CAT,am
39,20 + 41,ma
40,RAILROAD,am
41,15 * 5,ma
42,HOSPITAL,am
43,22 * 3,ma
