new_index,vis_stim,block_type
0,VILLAGE,am
1,38 * 3,ma
2,HOUSE,am
3,70 + 22,ma
4,FACTORY,am
5,38 + 70,ma
6,FUR,am
7,25 + 54,ma
8,FLOOD,am
9,32 / 4,ma
10,CLOTHING,am
11,63 - 53,ma
12,STREET,am
13,50 - 10,ma
14,BOOK,am
15,40 / 5,ma
16,WOMAN,am
17,73 + 74,ma
18,WHEAT,am
19,11 + 48,ma
20,SKIN,am
21,37 * 6,ma
22,VILLAGE,am
23,19 * 3,ma
24,COFFEE,am
25,23 + 28,ma
26,GARDEN,am
27,36 + 65,ma
28,FIRE,am
29,75 / 5,ma
30,ARM,am
31,69 - 35,ma
32,TOY,am
33,60 - 27,ma
34,FURNITURE,am
35,42 / 2,ma
36,PAPER,am
37,55 + 12,ma
38,WINDOW,am
39,63 + 45,ma
40,WINE,am
41,21 * 4,ma
42,FOREST,am
43,33 * 2,ma
