new_index,vis_stim,block_type
0,TABLE,am
1,18 / 2,ma
2,SHOES,am
3,39 - 22,ma
4,PUPIL,am
5,36 * 2,ma
6,CORN,am
7,31 * 2,ma
8,DOLL,am
9,24 + 16,ma
10,PALACE,am
11,54 / 3,ma
12,SUGAR,am
13,77 - 52,ma
14,BIRD,am
15,72 / 2,ma
16,PIPE,am
17,29 - 21,ma
18,LETTER,am
19,56 - 23,ma
20,TICKET,am
21,38 * 3,ma
22,HOUSE,am
23,70 + 22,ma
24,FACTORY,am
25,38 + 70,ma
26,FUR,am
27,25 + 54,ma
28,FLOOD,am
29,32 / 4,ma
30,CLOTHING,am
31,63 - 53,ma
32,STREET,am
33,50 - 10,ma
34,BOOK,am
35,40 / 5,ma
36,WOMAN,am
37,73 + 74,ma
38,WHEAT,am
39,11 + 48,ma
40,SKIN,am
41,37 * 6,ma
42,VILLAGE,am
43,19 * 3,ma
